板块,公司全称,英文名称,A股代码,A股简称,A股上市日期,B股代码,B股 简 称,B股上市日期,所属行业
主板,平安银行股份有限公司,"Ping An Bank Co., Ltd.",000001,平安银行,1991-04-03,,,,J 金融业
主板,万科企业股份有限公司,"CHINA VANKE CO., LTD.",000002,万  科Ａ,1991-01-29,,,,K 房地产
主板,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO., LTD",000004,国农科技,1990-12-01,,,,I 信息技术
主板,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,000005,世纪星源,1990-12-10,,,,N 公共环保
主板,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD.",000006,深振业Ａ,1992-04-27,,,,K 房地产
主板,深圳市全新好股份有限公司,"SHENZHEN Quanxinhao CO., LTD.",000007,全新好,1992-04-13,,,,K 房地产
主板,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",000008,神州高铁,1992-05-07,,,,C 制造业
主板,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO., LTD.",000009,中国宝安,1991-06-25,,,,S 综合
主板,深圳美丽生态股份有限公司,"SHENZHEN ECOBEAUTY CO., LTD.",000010,美丽生态,1995-10-27,,,,E 建筑业
主板,深圳市物业发展(集团)股份有限公司,ShenZhen Properties & Resources Development (Group) Ltd.,000011,深物业A,1992-03-30,200011,深物业B,1992-03-30,K 房地产
主板,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",000012,南  玻Ａ,1992-02-28,200012,南  玻Ｂ,1992-02-28,C 制造业
主板,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD.",000014,沙河股份,1992-06-02,,,,K 房地产
主板,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",000016,深康佳Ａ,1992-03-27,200016,深康佳Ｂ,1992-03-27,C 制造业
主板,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) LIMITED,000017,*ST中华A,1992-03-31,200017,*ST中华B,1992-03-31,C 制造业
