板块,公司全称,英文名称,A股代码,A股简称,A股上市日期,B股代码,B股简称,B股上市日期,所属行业
主板,深圳市物业发展(集团)股份有限公司,ShenZhen Properties & Resources Development (Group) Ltd.,000011,深物业A,1992-03-30,200011,深物业B,1992-03-30,K 房地产
主板,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",000012,南  玻Ａ,1992-02-28,200012,南  玻Ｂ,1992-02-28,C 制造业
主板,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",000016,深康佳Ａ,1992-03-27,200016,深康佳Ｂ,1992-03-27,C 制造业
主板,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) LIMITED,000017,*ST中华A,1992-03-31,200017,*ST中华B,1992-03-31,C 制造业
主板,深圳市深粮控股股份有限公司,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",000019,深粮控股,1992-10-12,200019,深粮B,1992-10-12,F 批发零售
主板,深圳中恒华发股份有限公司,"SHENZHEN ZHONGHENG HUAFA CO., LTD.",000020,深华发Ａ,1992-04-28,200020,深华发Ｂ,1992-04-28,C 制造业
主板,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd",000025,特  力Ａ,1993-06-21,200025,特  力Ｂ,1993-06-21,F 批发零售
主板,飞亚达精密科技股份有限公司,"FIYTA Precision Technology Co., Ltd.",000026,飞亚达,1993-06-03,200026,飞亚达Ｂ,1993-06-03,F 批发零售
主板,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,000028,国药一致,1993-08-09,200028,一致Ｂ,1993-08-09,F 批发零售
主板,深圳经济特区房地产(集团)股份有限公司,"ShenZhen Special Economic Zone Real Estate&Properties (Group) Co., Ltd.",000029,深深房Ａ,1993-09-15,200029,深深房Ｂ,1994-01-10,K 房地产
主板,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,000030,富奥股份,1993-09-29,200030,富奥B,1993-09-29,C 制造业
